lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_zh	full_cat_zh
bæjarfélag	hk	nh	311	3806	27478	Þetta hefði margvísleg áhrif í	bæjarfélaginu	að mati heimamanna.	Þetta hefði margvísleg áhrif í	bæjarfélaginu	að mati heimamanna.	paijar̥fjɛlaɣ	Nafnorð	n.	4K									bæjarfélag	bæjarfélagi	bæjarfélags	bæjarfélög	bæjarfélög	bæjarfélögum	bæjarfélaga											bæjarfélag.mp3	municipality	自治市	名词
íbúðarhús	hk	nh	311	3806	37233	Eldur kviknaði í timburklæðningu	íbúðarhúss	á sveitabæ í Vopnafirði um miðnæturbil.	Eldur kviknaði í timburklæðningu	íbúðarhúss	á sveitabæ í Vopnafirði um miðnæturbil.	iːpuðar̥hus	Nafnorð	n.	4K									íbúðarhús	íbúðarhúsi	íbúðarhúss	íbúðarhús	íbúðarhús	íbúðarhúsum	íbúðarhúsa											íbúðarhús.mp3	residential building	住宅楼	名词
kjúklingur	kk	nk	311	3806	6596		Kjúklingur	hefur aldrei verið framleiddur með þessum hætti hérlendis.		Kjúklingur	hefur aldrei verið framleiddur með þessum hætti hérlendis.	cʰuhkliŋkʏr	Nafnorð	m.	4K									kjúkling	kjúklingi	kjúklings	kjúklingar	kjúklinga	kjúklingum	kjúklinga											kjúklingur.mp3	chicken	鸡肉	名词
launamunur	kk	nk	311	3806	81587	Kynbundinn	launamunur	er algjörlega óþolandi.	Kynbundinn	launamunur	er algjörlega óþolandi.	lœiːnamʏnʏr	Nafnorð	m.	4K									launamun	launamun	launamunar															launamunur.mp3	pay gap	薪酬差距	名词
lífskjör	hk	nh	311	3806	486404	Þetta kemur fram í nýrri skýrslu um	lífskjör	öryrkja.	Þetta kemur fram í nýrri skýrslu um	lífskjör	öryrkja.	lifscʰœr	Nafnorð	n.	4K												lífskjör	lífskjör	lífskjörum	lífskjara											lífskjör.mp3	living condition	生活条件	名词
stýri	hk	nh	311	3806	3633	Fjórir voru teknir grunaðir um ölvun undir	stýri	.	Fjórir voru teknir grunaðir um ölvun undir	stýri	.	stiːrɪ	Nafnorð	n.	4K									stýri	stýri	stýris	stýri	stýri	stýrum	stýra											stýri.mp3	steering wheel	方向盘	名词
villa	kvk	nv	311	3806	16668	Fyrrnefnt lán var ekki veitt vegna	villu	í lánasamningi.	Fyrrnefnt lán var ekki veitt vegna	villu	í lánasamningi.	vɪtla	Nafnorð	f.	4K									villu	villu	villu	villur	villur	villum	villna											villa.mp3	mistake, error	错误，差错	名词
brandari	kk	nk	310	3815.5	7808	Þetta hljómar nánast eins og	brandari	.	Þetta hljómar nánast eins og	brandari	.	prantarɪ	Nafnorð	m.	4K									brandara	brandara	brandara	brandarar	brandara	bröndurum	brandara											brandari.mp3	joke	玩笑	名词
fjárhagsaðstoð	kvk	nv	310	3815.5	470585	Einstaklingum sem fá	fjárhagsaðstoð	frá Reykjavíkurborg fjölgar.	Einstaklingum sem fá	fjárhagsaðstoð	frá Reykjavíkurborg fjölgar.	fjaur̥haxsaðstɔð	Nafnorð	f.	4K									fjárhagsaðstoð	fjárhagsaðstoð	fjárhagsaðstoðar															fjárhagsaðstoð.mp3	financial assistance	经济支援	名词
giska	so	s	310	3815.5	420365	Við vorum að	giska	á að hann væri svona tæplega fjórir.	Við vorum að	giska	á að hann væri svona tæplega fjórir.	cɪska	Sagnorð	v.	4K	giska	giskar	giskar	giskaði	giskaðir	giskaði	giskað																			giska.mp3	guess	猜测	动词
inna	so	s	310	3815.5	434918	Þetta er starf sem íslenska ríkisstjórnin þarf að	inna	af hendi.	Þetta er starf sem íslenska ríkisstjórnin þarf að	inna	af hendi.	ɪna	Sagnorð	v.	4K	inni	innir	innir	innti	inntir	innti	innt																			inna.mp3	(always used in multiword expression) 'inna af hendi': get sth done;  'inna eftir e-u': ask about sth	（通常用于多词表达）'inna af hendi'：完成某事； 'inna eftir e-u': 询问某事	动词
innrás	kvk	nv	310	3815.5	119687	Það gerist ekki nema með erlendri	innrás	í landið.	Það gerist ekki nema með erlendri	innrás	í landið.	ɪnraus	Nafnorð	f.	4K									innrás	innrás	innrásar	innrásir	innrásir	innrásum	innrása											innrás.mp3	invasion	入侵	名词
keppandi	kk	nk	310	3815.5	9897	En	keppendur	eru allt frá fjögurra ára til sextán ára.	En	keppendur	eru allt frá fjögurra ára til sextán ára.	cʰɛhpantɪ	Nafnorð	m.	4K									keppanda	keppanda	keppanda	keppendur	keppendur	keppendum	keppenda											keppandi.mp3	competitor	竞争者，竞赛者	名词
misnota	so	s	310	3815.5	421940	Hann vaknaði síðan við að maðurinn var að	misnota	hann.	Hann vaknaði síðan við að maðurinn var að	misnota	hann.	mɪːstnɔta	Sagnorð	v.	4K	misnota	misnotar	misnotar	misnotaði	misnotaðir	misnotaði	misnotað																			misnota.mp3	misuse, abuse	滥用；虐待	动词
rektor	kk	nk	310	3815.5	5465	Ég studdi hana síðan þegar hún bauð sig fram til	rektors	.	Ég studdi hana síðan þegar hún bauð sig fram til	rektors	.	rɛxtɔr	Nafnorð	m.	4K									rektor	rektor	rektors	rektorar	rektora	rektorum	rektora											rektor.mp3	rector	校长	名词
selur	kk	nk	310	3815.5	6794	Þessi	selur	er bráðungur og varla hálfvaxinn af kampsel að vera.	Þessi	selur	er bráðungur og varla hálfvaxinn af kampsel að vera.	sɛːlʏr	Nafnorð	m.	4K									sel	sel	sels	selir	seli	selum	sela											selur.mp3	seal	海豹	名词
skák	kvk	nv	310	3815.5	10516	Fyrsta	skákin	hefst í kvöld klukkan átta.	Fyrsta	skákin	hefst í kvöld klukkan átta.	skauːk	Nafnorð	f.	4K									skák	skák	skákar	skákir	skákir	skákum	skáka											skák.mp3	chess	国际象棋，象棋	名词
skelfing	kvk	nv	310	3815.5	11940	Mörg hundruð þúsund íbúar hafa flúið í	skelfingu	vegna stórsóknar hersins.	Mörg hundruð þúsund íbúar hafa flúið í	skelfingu	vegna stórsóknar hersins.	scɛlviŋk	Nafnorð	f.	4K									skelfingu	skelfingu	skelfingar	skelfingar	skelfingar	skelfingum	skelfinga											skelfing.mp3	terror, fright	恐怖，惊吓	名词
þjóðaratkvæðagreiðsla	kvk	nv	310	3815.5	469780	Grænlendingar samþykktu nýju lögin í	þjóðaratkvæðagreiðslu	í nóvember árið 2008.	Grænlendingar samþykktu nýju lögin í	þjóðaratkvæðagreiðslu	í nóvember árið 2008.	θjouːðaratkʰvaiðakreiðstla	Nafnorð	f.	4K									þjóðaratkvæðagreiðslu	þjóðaratkvæðagreiðslu	þjóðaratkvæðagreiðslu	þjóðaratkvæðagreiðslur	þjóðaratkvæðagreiðslur	þjóðaratkvæðagreiðslum	þjóðaratkvæðagreiðslna											þjóðaratkvæðagreiðsla.mp3	referendum	公投	名词
aldeilis	ao	a	309	3826	495894	Það er nú	aldeilis	alvarlegt ef mönnum dettur slíkt í hug.	Það er nú	aldeilis	alvarlegt ef mönnum dettur slíkt í hug.	alteilɪs	Atviksorð	adv.	4K								aldeilis																		aldeilis.mp3	completely	完全地	副词
geiri	kk	nk	309	3826	7093	Í ritgerðinni er fjallað um ímynd fyrirtækja í átta	geirum	atvinnulífsins.	Í ritgerðinni er fjallað um ímynd fyrirtækja í átta	geirum	atvinnulífsins.	ceiːrɪ	Nafnorð	m.	4K									geira	geira	geira	geirar	geira	geirum	geira											geiri.mp3	sector	部门	名词
ilmur	kk	nk	309	3826	6865	Gestir geta fylgst með rannsókninni og fundið	ilminn	af náttúrunni.	Gestir geta fylgst með rannsókninni og fundið	ilminn	af náttúrunni.	ɪlmʏr	Nafnorð	m.	4K									ilm	ilmi	ilms															ilmur.mp3	aroma, scent	香气，气味	名词
jakki	kk	nk	309	3826	8991	Hann var í ljósum	jakka	og með hund með sér.	Hann var í ljósum	jakka	og með hund með sér.	jahcɪ	Nafnorð	m.	4K									jakka	jakka	jakka	jakkar	jakka	jökkum	jakka											jakki.mp3	jacket	夹克	名词
jarðgöng	hk	nh	309	3826	33359	Þetta þýðir að	jarðgöngum	er hafnað.	Þetta þýðir að	jarðgöngum	er hafnað.	jarðkœiŋk	Nafnorð	n.	4K												jarðgöng	jarðgöng	jarðgöngum	jarðganga											jarðgöng.mp3	tunnel	隧道	名词
misjafnlega	ao	a	309	3826	497483	Reynslan sýnir hins vegar að umsóknarferlið gengur	misjafnlega	hratt fyrir sig.	Reynslan sýnir hins vegar að umsóknarferlið gengur	misjafnlega	hratt fyrir sig.	mɪːsjaplɛɣa	Atviksorð	adv.	4K								misjafnlega																		misjafnlega.mp3	unevenly; differently	不均匀；不同的	副词
redda	so	s	309	3826	422514	Við erum að fá gjaldeyri inn til landsins og	redda	fjárhagnum.	Við erum að fá gjaldeyri inn til landsins og	redda	fjárhagnum.	rɛta	Sagnorð	v.	4K	redda	reddar	reddar	reddaði	reddaðir	reddaði	reddað																			redda.mp3	fix	使固定	动词
undrun	kvk	nv	309	3826	387498	Ein var sú tillaga minnihlutastjórnarinnar sem vakti sérstaka	undrun	mína.	Ein var sú tillaga minnihlutastjórnarinnar sem vakti sérstaka	undrun	mína.	ʏntrʏn	Nafnorð	f.	4K									undrun	undrun	undrunar															undrun.mp3	amazement	惊愕	名词
vörumerki	hk	nh	309	3826	50510	Afurðirnar eru allar seldar til Bandaríkjanna undir	vörumerkinu	Arctic Salmon.	Afurðirnar eru allar seldar til Bandaríkjanna undir	vörumerkinu	Arctic Salmon.	vœːrʏmɛr̥cɪ	Nafnorð	n.	4K									vörumerki	vörumerki	vörumerkis	vörumerki	vörumerki	vörumerkjum	vörumerkja											vörumerki.mp3	brand; trademark	品牌；商标	名词
gæfa	kvk	nv	308	3833.5	15166	Ég óska lesendum Fréttablaðsins	gæfu	og gleði á nýju ári.	Ég óska lesendum Fréttablaðsins	gæfu	og gleði á nýju ári.	caiːva	Nafnorð	f.	4K									gæfu	gæfu	gæfu															gæfa.mp3	good luck	运气好	名词
heilbrigðisráðuneyti	hk	nh	308	3833.5	54923	Málið hefur nú verið í skoðun hjá	heilbrigðisráðuneytinu	í tvö ár.	Málið hefur nú verið í skoðun hjá	heilbrigðisráðuneytinu	í tvö ár.	heilprɪɣðɪsrauðʏneitɪ	Nafnorð	n.	4K									heilbrigðisráðuneyti	heilbrigðisráðuneyti	heilbrigðisráðuneytis	heilbrigðisráðuneyti	heilbrigðisráðuneyti	heilbrigðisráðuneytum	heilbrigðisráðuneyta											heilbrigðisráðuneyti.mp3	Ministry of Health	卫生部	名词
kjörinn	lo	l	308	3833.5	165135	Samfylkingin fengi 20 menn	kjörna	á þing yrði kosið nú.	Samfylkingin fengi 20 menn	kjörna	á þing yrði kosið nú.	cʰœːrɪn	Lýsingarorð	adj.	4K																					kjörinn  --  kjörin -- kjörið					kjörinn.mp3	elected	选举	形容词
risastór	lo	l	308	3833.5	389801	Þetta er auðvitað	risastór	ákvörðun.	Þetta er auðvitað	risastór	ákvörðun.	rɪːsastour	Lýsingarorð	adj.	4K																					risastór  --  risastór -- risastórt					risastór.mp3	huge	巨大的	形容词
röksemd	kvk	nv	308	3833.5	128414	Sama	röksemd	er sett fram í athugasemd með frumvarpinu.	Sama	röksemd	er sett fram í athugasemd með frumvarpinu.	rœksɛmt	Nafnorð	f.	4K									röksemd	röksemd	röksemdar	röksemdir	röksemdir	röksemdum	röksemda											röksemd.mp3	reasoning, argument	推理，论证	名词
samanlagt	ao	a	308	3833.5	496208		Samanlagt	nema kröfur fyrirtækjanna hundruðum milljóna króna.		Samanlagt	nema kröfur fyrirtækjanna hundruðum milljóna króna.	saːmanlaxt	Atviksorð	adv.	4K								samanlagt																		samanlagt.mp3	in total, in aggregate	总计	副词
álitamál	hk	nh	307	3840	48843	Unnið er að því að ná saman um helstu	álitamál	.	Unnið er að því að ná saman um helstu	álitamál	.	auːlɪtamaul	Nafnorð	n.	4K									álitamál	álitamáli	álitamáls	álitamál	álitamál	álitamálum	álitamála											álitamál.mp3	matter of opinion	意见问题	名词
bjartsýnn	lo	l	307	3840	174512	Hann er	bjartsýnn	á framhaldið.	Hann er	bjartsýnn	á framhaldið.	pjar̥tsitn̥	Lýsingarorð	adj.	4K																					bjartsýnn  --  bjartsýn -- bjartsýnt	bjartsýnni -- bjartsýnni -- bjartsýnna	bjartsýnastur -- bjartsýnust -- bjartsýnast			bjartsýnn.mp3	optimistic	乐观的	形容词
næring	kvk	nv	307	3840	11822	Þannig hafa hunangsflugur átt í erfiðleikum með að nálgast	næringu	.	Þannig hafa hunangsflugur átt í erfiðleikum með að nálgast	næringu	.	naiːriŋk	Nafnorð	f.	4K									næringu	næringu	næringar															næring.mp3	nutrition	营养	名词
orðatiltæki	hk	nh	307	3840	473115	Þetta	orðatiltæki	er reyndar eins öfugsnúið og það getur verið.	Þetta	orðatiltæki	er reyndar eins öfugsnúið og það getur verið.	ɔrðatʰɪltʰaicɪ	Nafnorð	n.	4K									orðatiltæki	orðatiltæki	orðatiltækis	orðatiltæki	orðatiltæki	orðatiltækjum	orðatiltækja											orðatiltæki.mp3	expression, idiom	表达，成语	名词
páskar	kk	nk	307	3840	396697	Bolludagur er mánudagurinn 7 vikum fyrir	páska	.	Bolludagur er mánudagurinn 7 vikum fyrir	páska	.	pʰauskar	Nafnorð	m.	4K												páskar	páska	páskum	páska											páskar.mp3	Easter	复活节	名词
samsvarandi	lo	l	307	3840	170656		Samsvarandi	fækkun kemur ekki fram hjá mæðrum.		Samsvarandi	fækkun kemur ekki fram hjá mæðrum.	samsvarantɪ	Lýsingarorð	adj.	4K																					samsvarandi  --  samsvarandi -- samsvarandi					samsvarandi.mp3	corresponding	相应的	形容词
spjald	hk	nh	307	3840	3499	Á	spjaldinu	má sjá helstu upplýsingar um akstursaðstæður á Íslandi.	Á	spjaldinu	má sjá helstu upplýsingar um akstursaðstæður á Íslandi.	spjalt	Nafnorð	n.	4K									spjald	spjaldi	spjalds	spjöld	spjöld	spjöldum	spjalda											spjald.mp3	card	卡片	名词
áreiti	hk	nh	306	3850	55190	Margir skemmtikraftar lenda í slíku	áreiti	í vinnunni.	Margir skemmtikraftar lenda í slíku	áreiti	í vinnunni.	auːreitɪ	Nafnorð	n.	4K									áreiti	áreiti	áreitis	áreiti	áreiti	áreitum	áreita											áreiti.mp3	stimulus	刺激	名词
bani	kk	nk	306	3850	8859	Annar þeirra var skotinn til	bana	í morgun.	Annar þeirra var skotinn til	bana	í morgun.	paːnɪ	Nafnorð	m.	4K									bana	bana	bana	banar	bana	bönum	bana											bani.mp3	death	死，致命	名词
bannfæring	kvk	nv	306	3850	134661	Skömmu fyrir andlát sitt tók biskup	bannfæringuna	hins vegar til baka.	Skömmu fyrir andlát sitt tók biskup	bannfæringuna	hins vegar til baka.	panfairiŋk	Nafnorð	f.	4K									bannfæringu	bannfæringu	bannfæringar	bannfæringar	bannfæringar	bannfæringum	bannfæringa											bannfæring.mp3	excommunication	绝罚（开除教籍，尤指天主教）	名词
dótturfélag	hk	nh	306	3850	27480	Atlantsolía og	dótturfélög	stóru félaganna höfðu ekki hækkað verðið í gærkvöld.	Atlantsolía og	dótturfélög	stóru félaganna höfðu ekki hækkað verðið í gærkvöld.	touhtʏrfjɛlaɣ	Nafnorð	n.	4K									dótturfélag	dótturfélagi	dótturfélags	dótturfélög	dótturfélög	dótturfélögum	dótturfélaga											dótturfélag.mp3	subsidiary	子公司	名词
einskonar	lo	l	306	3850	175688	Stefnan er	einskonar	rammi utan um öll ríkisfjármálin.	Stefnan er	einskonar	rammi utan um öll ríkisfjármálin.	einskɔnar	Lýsingarorð	adj.	4K																					einskonar  --  einskonar -- einskonar					einskonar.mp3	a kind of	一种	形容词
fæði	hk	nh	306	3850	1197	Þangað sækir fjöldi manns sér	fæði	og félagsskap.	Þangað sækir fjöldi manns sér	fæði	og félagsskap.	faiːðɪ	Nafnorð	n.	4K									fæði	fæði	fæðis															fæði.mp3	food	食物	名词
flóttamaður	kk	nk	306	3850	87872		Flóttamennirnir	koma hingað síðar á árinu.		Flóttamennirnir	koma hingað síðar á árinu.	flouhtamaðʏr	Nafnorð	m.	4K									flóttamann	flóttamanni	flóttamanns	flóttamenn	flóttamenn	flóttamönnum	flóttamanna											flóttamaður.mp3	refugee	难民	名词
klefi	kk	nk	306	3850	7261	Margir hafa haft samband í vonum að tryggja sér	klefa	.	Margir hafa haft samband í vonum að tryggja sér	klefa	.	kʰlɛːvɪ	Nafnorð	m.	4K									klefa	klefa	klefa	klefar	klefa	klefum	klefa											klefi.mp3	compartment; cell	隔间；牢房	名词
leiðangur	kk	nk	306	3850	472475	Veður var gott og gekk	leiðangurinn	vel.	Veður var gott og gekk	leiðangurinn	vel.	leiːðauŋkʏr	Nafnorð	m.	4K									leiðangur	leiðangri	leiðangurs	leiðangrar	leiðangra	leiðöngrum	leiðangra											leiðangur.mp3	expedition	远征	名词
lesblindur	lo	l	306	3850	410827	Samt erum við bæði vön að vinna með	lesblindum	nemendum.	Samt erum við bæði vön að vinna með	lesblindum	nemendum.	lɛːsplɪntʏr	Lýsingarorð	adj.	4K																					lesblindur  --  lesblind -- lesblint					lesblindur.mp3	dyslexic	阅读障碍	形容词
lita	so	s	306	3850	421735	Hún	litar	ull með jurtum.	Hún	litar	ull með jurtum.	lɪːta	Sagnorð	v.	4K	lita	litar	litar	litaði	litaðir	litaði	litað																			lita.mp3	colour, paint	着色，刷油漆	动词
mennta	so	s	306	3850	421904	Aðalmálið er að börnin fái tækifæri til að	mennta	sig.	Aðalmálið er að börnin fái tækifæri til að	mennta	sig.	mɛn̥ta	Sagnorð	v.	4K	mennta	menntar	menntar	menntaði	menntaðir	menntaði	menntað																			mennta.mp3	educate	教育	动词
sameign	kvk	nv	306	3850	125324	Nýlegri þvottavél var stolið úr	sameign	fjölbýlishúss í vesturbænum í gærmorgun.	Nýlegri þvottavél var stolið úr	sameign	fjölbýlishúss í vesturbænum í gærmorgun.	saːmeikn̥	Nafnorð	f.	4K									sameign	sameign	sameignar	sameignir	sameignir	sameignum	sameigna											sameign.mp3	common property	共同财产	名词
harmur	kk	nk	305	3860.5	6357	Þannig að það eru allir bara	harmi	slegnir.	Þannig að það eru allir bara	harmi	slegnir.	harmʏr	Nafnorð	m.	4K									harm	harmi	harms	harmar	harma	hörmum	harma											harmur.mp3	grief, sorrow	悲伤，悲痛	名词
höggva	so	s	305	3860.5	480366	Þar gefst fólki kostur á að	höggva	sitt eigið jólatré.	Þar gefst fólki kostur á að	höggva	sitt eigið jólatré.	hœkva	Sagnorð	v.	4K	hegg	heggur	heggur	hjó	hjóst	hjó	höggvið																			höggva.mp3	chop	劈，砍	动词
lagaákvæði	hk	nh	305	3860.5	428251	Sérstök	lagaákvæði	þarf til að heimila slíkar aðgerðir.	Sérstök	lagaákvæði	þarf til að heimila slíkar aðgerðir.	laːɣaaukʰvaiðɪ	Nafnorð	n.	4K									lagaákvæði	lagaákvæði	lagaákvæðis	lagaákvæði	lagaákvæði	lagaákvæðum	lagaákvæða											lagaákvæði.mp3	legal provision	法律规定	名词
lagabreyting	kvk	nv	305	3860.5	132478	Vonast er til að	lagabreytingin	skapi mörg þúsund ný störf.	Vonast er til að	lagabreytingin	skapi mörg þúsund ný störf.	laːɣapreitiŋk	Nafnorð	f.	4K									lagabreytingu	lagabreytingu	lagabreytingar	lagabreytingar	lagabreytingar	lagabreytingum	lagabreytinga											lagabreyting.mp3	amendment	修正案	名词
orsaka	so	s	305	3860.5	422211	Ekki liggur fyrir hvað	orsakaði	mengunina.	Ekki liggur fyrir hvað	orsakaði	mengunina.	ɔr̥saka	Sagnorð	v.	4K	orsaka	orsakar	orsakar	orsakaði	orsakaðir	orsakaði	orsakað																			orsaka.mp3	cause	原因	动词
símanúmer	hk	nh	305	3860.5	52914	Töluvert fátítt er að börn gefi upp	símanúmer	eða heimilisfang.	Töluvert fátítt er að börn gefi upp	símanúmer	eða heimilisfang.	siːmanumɛr	Nafnorð	n.	4K									símanúmer	símanúmeri	símanúmers	símanúmer	símanúmer	símanúmerum	símanúmera											símanúmer.mp3	phone number	电话号码	名词
uppnám	hk	nh	305	3860.5	52373	Verðtryggingin gæti jafnvel verið í	uppnámi	.	Verðtryggingin gæti jafnvel verið í	uppnámi	.	ʏhpnaum	Nafnorð	n.	4K									uppnám	uppnámi	uppnáms															uppnám.mp3	confusion, uproar	混乱，喧闹	名词
veglegur	lo	l	305	3860.5	392167	Þá hefðu stjórnendur fyrirtækja skammtað sjálfum sér	veglegar	launahækkanir.	Þá hefðu stjórnendur fyrirtækja skammtað sjálfum sér	veglegar	launahækkanir.	vɛɣlɛɣʏr	Lýsingarorð	adj.	4K																					veglegur  --  vegleg -- veglegt	veglegri -- veglegri -- veglegra	veglegastur -- veglegust -- veglegast			veglegur.mp3	splendid	极佳的，非常好的	形容词
aflamark	hk	nh	304	3868	48355	Það er ekki venjan að breyta	aflamarki	á miðju fiskveiðiári.	Það er ekki venjan að breyta	aflamarki	á miðju fiskveiðiári.	aplamar̥k	Nafnorð	n.	4K									aflamark	aflamarki	aflamarks	aflamörk	aflamörk	aflamörkum	aflamarka											aflamark.mp3	catch quota	捕捞配额	名词
bjartsýni	kvk	nv	304	3868	131506	Skipuleggjandi hátíðarinnar segir þörf á meiri	bjartsýni	og von í samfélaginu.	Skipuleggjandi hátíðarinnar segir þörf á meiri	bjartsýni	og von í samfélaginu.	pjar̥tsinɪ	Nafnorð	f.	4K									bjartsýni	bjartsýni	bjartsýni															bjartsýni.mp3	optimism	乐观	名词
endurvinnsla	kvk	nv	304	3868	459503		Endurvinnslan	hefur tekið mikinn kipp í kreppunni.		Endurvinnslan	hefur tekið mikinn kipp í kreppunni.	ɛntʏrvɪnstla	Nafnorð	f.	4K									endurvinnslu	endurvinnslu	endurvinnslu															endurvinnsla.mp3	recycling	回收利用	名词
leyndarmál	hk	nh	304	3868	49065	Ég ætla að láta það vera pínu	leyndarmál	.	Ég ætla að láta það vera pínu	leyndarmál	.	leintarmaul	Nafnorð	n.	4K									leyndarmál	leyndarmáli	leyndarmáls	leyndarmál	leyndarmál	leyndarmálum	leyndarmála											leyndarmál.mp3	secret	秘密	名词
persónulega	ao	a	304	3868	497600	Viðskiptavinirnir tóku því enga	persónulega	áhættu.	Viðskiptavinirnir tóku því enga	persónulega	áhættu.	pʰɛr̥sounʏlɛɣa	Atviksorð	adv.	4K								persónulega																		persónulega.mp3	personally	亲身	副词
rigna	so	s	304	3868	467761	Það	rignir	mikið á þessu svæði.	Það	rignir	mikið á þessu svæði.	rɪkna	Sagnorð	v.	4K							rignt																			rigna.mp3	rain	下雨	动词
verka	so	s	304	3868	424205	En þaðan veiddu menn hrefnu á smábátum og	verkuðu	.	En þaðan veiddu menn hrefnu á smábátum og	verkuðu	.	vɛr̥ka	Sagnorð	v.	4K	verka	verkar	verkar	verkaði	verkaðir	verkaði	verkað																			verka.mp3	clean; work, function	清洁；工作，运转	动词
einkafyrirtæki	hk	nh	303	3877.5	29979	Hann hefur starfað bæði hjá hinu opinbera og	einkafyrirtækjum	.	Hann hefur starfað bæði hjá hinu opinbera og	einkafyrirtækjum	.	eiŋ̥kafɪrɪr̥tʰaicʰɪ	Nafnorð	n.	4K									einkafyrirtæki	einkafyrirtæki	einkafyrirtækis	einkafyrirtæki	einkafyrirtæki	einkafyrirtækjum	einkafyrirtækja											einkafyrirtæki.mp3	private firm	私人公司	名词
greindur	lo	l	303	3877.5	412880	En aðallega er hún	greind	og góðhjörtuð.	En aðallega er hún	greind	og góðhjörtuð.	kreintʏr	Lýsingarorð	adj.	4K																					greindur  --  greind -- greint	greindari -- greindari -- greindara	greindastur -- greindust -- greindast			greindur.mp3	intelligent	聪明的	形容词
hnútur	kk	nk	303	3877.5	5916	Málið er í algjörum	hnút	eins og stendur.	Málið er í algjörum	hnút	eins og stendur.	n̥uːtʏr	Nafnorð	m.	4K									hnút	hnút	hnúts	hnútar	hnúta	hnútum	hnúta											hnútur.mp3	knot	结	名词
innfluttur	lo	l	303	3877.5	177120		Innflutta	kjötið er notað í unnar matvörur.		Innflutta	kjötið er notað í unnar matvörur.	ɪnflʏhtʏr	Lýsingarorð	adj.	4K																					innfluttur  --  innflutt -- innflutt					innfluttur.mp3	imported	进口的	形容词
ókunnur	lo	l	303	3877.5	477331	Tildrög þess eru	ókunn	og er málið í rannsókn.	Tildrög þess eru	ókunn	og er málið í rannsókn.	ouːkʰʏnʏr	Lýsingarorð	adj.	4K																					ókunnur  --  ókunn	ókunnari -- ókunnari -- ókunnara	ókunnastur -- ókunnust -- ókunnast			ókunnur.mp3	unknown	未知的，陌生的	形容词
refur	kk	nk	303	3877.5	411757	Hann mótmælir friðun	refsins	á svæðinu enda raski hún lífríkinu stórlega.	Hann mótmælir friðun	refsins	á svæðinu enda raski hún lífríkinu stórlega.	rɛːvʏr	Nafnorð	m.	4K									ref	ref	refs	refir	refi	refum	refa											refur.mp3	fox	狐狸	名词
sveitarstjóri	kk	nk	303	3877.5	112509		Sveitarstjórinn	á Djúpavogi átti frumkvæðið að því að málið væri athugað.		Sveitarstjórinn	á Djúpavogi átti frumkvæðið að því að málið væri athugað.	sveiːtar̥stjourɪ	Nafnorð	m.	4K									sveitarstjóra	sveitarstjóra	sveitarstjóra	sveitarstjórar	sveitarstjóra	sveitarstjórum	sveitarstjóra											sveitarstjóri.mp3	director of a local council	地方议会主任	名词
veiðarfæri	hk	nh	303	3877.5	30349		Veiðarfæri	og búnaður tveggja bátaútgerða eyðilögðust hins vegar í bálinu.		Veiðarfæri	og búnaður tveggja bátaútgerða eyðilögðust hins vegar í bálinu.	veiːðar̥fairɪ	Nafnorð	n.	4K									veiðarfæri	veiðarfæri	veiðarfæris	veiðarfæri	veiðarfæri	veiðarfærum	veiðarfæra											veiðarfæri.mp3	fishing gear	捕鱼装置	名词
verkafólk	hk	nh	303	3877.5	473522	Það sé baráttuhugur í	verkafólki	.	Það sé baráttuhugur í	verkafólki	.	vɛr̥kafoul̥k	Nafnorð	n.	4K									verkafólk	verkafólki	verkafólks															verkafólk.mp3	working people	雇员，（尤指）劳工，工人	名词
verkfræðingur	kk	nk	303	3877.5	99440		Verkfræðingar	yrðu þó að áætla upphæðina nákvæmlega.		Verkfræðingar	yrðu þó að áætla upphæðina nákvæmlega.	vɛr̥kfraiðiŋkʏr	Nafnorð	m.	4K									verkfræðing	verkfræðingi	verkfræðings	verkfræðingar	verkfræðinga	verkfræðingum	verkfræðinga											verkfræðingur.mp3	engineer	工程师	名词
vinnubragð	hk	nh	303	3877.5	21456	Það eru ekki nógu góð	vinnubrögð	.	Það eru ekki nógu góð	vinnubrögð	.	vɪnʏpraɣð	Nafnorð	n.	4K									vinnubragð	vinnubragði	vinnubragðs	vinnubrögð	vinnubrögð	vinnubrögðum	vinnubragða											vinnubragð.mp3	(always used in plural form 'vinnubrögð') work methods	（总是以复数形式使用'vinnubrögð'）工作方式	名词
þrep	hk	nh	303	3877.5	4152	Tekjuskattur verður lagður á í þremur	þrepum	eins og áður.	Tekjuskattur verður lagður á í þremur	þrepum	eins og áður.	θrɛːp	Nafnorð	n.	4K									þrep	þrepi	þreps	þrep	þrep	þrepum	þrepa											þrep.mp3	step; level	步；等级	名词
